,Id,roberta_neg,roberta_neu,roberta_pos,roberta_polarity,Source,Date,Title,Content,Name,Rating,Version,emotion,,
0,1,0.002412808,0.058184627,0.939402521,1,Glitter Food - Kids Cafe,2022-11-25,,Fun for kids and family 8,Zoey Landis,4,1.1.0,neutral,,
1,2,0.007183036,0.111996464,0.880820453,1,Glitter Food - Kids Cafe,2022-06-27,,Happy,Gabriella Frey,5,1.07,joy,,
2,3,0.039192688,0.258853883,0.701953471,1,Glitter Food - Kids Cafe,2022-06-19,,Amazing but make it so that I can eat it,Catherine Hemsley,3,,admiration,,
3,4,0.928221226,0.066598237,0.005180542,0,Glitter Food - Kids Cafe,2022-02-20,,Coffee maker game doesn't work.,RM online,2,1.07,disapproval,Positive,49
4,5,0.479749113,0.289526373,0.230724514,0,Glitter Food - Kids Cafe,2021-10-12,,I'm crying 😭😭😭😭😭😭😭😭😭,Sherita Williams,1,1.07,sadness,Negative,9
5,6,0.106144391,0.599691153,0.294164479,1,Glitter Food - Kids Cafe,2021-10-04,,I never try this game before now I trying to play for the first time ever 😸,wajihah Farhana,1,,joy,,
6,7,0.002113877,0.008126591,0.989759564,1,Glitter Food - Kids Cafe,2021-03-21,,This is so good,Iya Cosio,3,1.0.6,joy,,
7,8,0.320298612,0.476361573,0.203339845,0,Glitter Food - Kids Cafe,2020-09-22,,😾🙍🏼🙎🏼🙅🏼💩🙅🏼👎🏻 BORING,An apology fro Snowbell for eating your fryed mice,1,1.0.6,admiration,,
8,9,0.002024168,0.008975193,0.989000559,1,Glitter Food - Kids Cafe,2020-05-30,,I love this game like crazy it teaches me how to cook I played it Sinse I was 3💖💖💖💖💖💟💝💞💕💗,ONGOLENYANG ERIC,1,1.0.5,love,,
9,10,0.002058142,0.011661006,0.986280918,1,Glitter Food - Kids Cafe,2020-05-26,,wow very nice game 😉😉😉,Liza chy,5,1.0.5,admiration,,
10,11,0.002392814,0.01682381,0.980783403,1,Glitter Food - Kids Cafe,2020-04-15,,"Fun, girly,and colorful but need more things to do or at least cook but other than that it is fun 😁 🤑😉",A Google user,5,1.0.5,amusement,,
11,12,0.00170159,0.008886757,0.989411652,1,Glitter Food - Kids Cafe,2020-04-11,,I love it 😍💕💙💙💙😍😍💕💙💙❤️😍😍💕❤️❤️😍💕❤️💙❤️😍💕,A Google user,5,1.0.5,love,,
12,13,0.364475012,0.479963332,0.155561656,0,Glitter Food - Kids Cafe,2020-04-09,,BORING CACA HEAD BUTT FART!!!!!!!!!!!!!!!!!!!!!!! 👩🏼💨🖖🏿💩👎🏿👩🏽💨✋🏿💩👎🏿👩🏿💨🖐🏿💩👎🏿👩🏾💨👋🏿💩👎🏿👩💨✌🏿💩👎🏿,A Google user,1,,neutral,,
13,14,0.002669555,0.03166258,0.965667844,1,Glitter Food - Kids Cafe,2020-03-09,,This game is cool it teaches people how to cook,A Google user,5,1.0.4,admiration,,
14,15,0.002020276,0.012494277,0.985485494,1,Glitter Food - Kids Cafe,2020-03-07,,OMG! This game is so creative and Glittery! I'd even bet that parents love it! And is it possible to make real Glitter food???,A Google user,5,1.0.4,admiration,,
15,16,0.938517153,0.049432516,0.01205039,0,Glitter Food - Kids Cafe,2020-01-04,,its so boring,A Google user,2,,disappointment,,
16,17,0.060793415,0.329427898,0.609778702,1,Glitter Food - Kids Cafe,2019-11-22,,Good,A Google user,5,1.0.4,admiration,,
17,18,0.001822329,0.005305173,0.992872477,1,Glitter Food - Kids Cafe,2019-09-30,,thank you for this game great game 😌 loved the concept i liked playing it! ur the best,A Google user,5,1.0.3,admiration,,
18,19,0.007595273,0.234056488,0.758348227,1,Glitter Food - Kids Cafe,2019-09-14,,Cool,A Google user,4,1.0.3,admiration,,
19,20,0.006082694,0.045706172,0.948211193,1,Glitter Food - Kids Cafe,2019-08-07,,very good,A Google user,1,1.0.3,admiration,,
20,21,0.002489646,0.014992808,0.98251754,1,Glitter Food - Kids Cafe,2019-08-02,,this is a nice game,A Google user,3,1.0.3,admiration,,
21,22,0.037289005,0.208372921,0.754338145,1,Glitter Food - Kids Cafe,2019-08-01,,best game but its havning only three things it should have more items thanks,A Google user,2,1.0.3,gratitude,,
22,23,0.008056461,0.037304033,0.954639494,1,Glitter Food - Kids Cafe,2019-07-10,,i enjoy this gme i feel like a kid,A Google user,5,1.0.2,joy,,
23,24,0.005872223,0.177466005,0.816661835,1,Glitter Food - Kids Cafe,2019-05-31,,powliii app എല്ലാവരും install ok 👌👌👍👍💞💞,A Google user,5,1.0.2,neutral,,
24,25,0.036648367,0.38175261,0.581598997,1,Glitter Food - Kids Cafe,2019-05-16,,fun,A Google user,5,1.0.2,amusement,,
25,26,0.85018301,0.124297403,0.025519503,0,Glitter Food - Kids Cafe,2019-05-01,,Boring,A Google user,1,1.0.2,sadness,,
26,27,0.057428338,0.27954635,0.66302532,1,Glitter Food - Kids Cafe,2019-04-24,,good,A Google user,5,1.0.2,admiration,,
27,28,0.198999479,0.615601599,0.185398921,0,Glitter Food - Kids Cafe,2019-04-13,,"It is ideaable,because i did not know they fry doughnut",A Google user,1,1.0.2,realization,,
28,29,0.004338173,0.107794002,0.887867808,1,Glitter Food - Kids Cafe,2019-04-05,,super 😚😍😘😍😚,A Google user,4,,admiration,,
29,30,0.002681008,0.02157863,0.975740373,1,Glitter Food - Kids Cafe,2019-03-24,,It's very interesting game.,A Google user,4,1.0.2,excitement,,
30,31,0.007183036,0.111996464,0.880820453,1,Glitter Food - Kids Cafe,2019-03-23,,Happy,A Google user,3,1.0.2,joy,,
31,32,0.058178399,0.30829978,0.633521795,1,Glitter Food - Kids Cafe,2019-03-22,,great,A Google user,5,1.0.2,admiration,,
32,33,0.005844508,0.014289909,0.979865611,1,Glitter Food - Kids Cafe,2019-03-12,,This game is too good when I become bored I always play this game 🤗😍🤩😙😘🥔🍞🍞,A Google user,5,1.0.2,joy,,
33,34,0.001533666,0.013250749,0.985215545,1,Glitter Food - Kids Cafe,2019-02-07,,so much nice 👌🤗🤗🤗 🤗🤗,A Google user,5,1.0.1,admiration,,
34,35,0.098984741,0.477387756,0.423627466,1,Glitter Food - Kids Cafe,2018-11-24,,Amazing I want to know that who made this game. Please tell us,A Google user,5,1.0.1,admiration,,
35,36,0.003523483,0.029105177,0.967371345,1,Glitter Food - Kids Cafe,2018-11-22,,It is good,A Google user,5,1.0.1,approval,,
36,37,0.001808226,0.007753126,0.99043864,1,Glitter Food - Kids Cafe,2018-10-05,,I am so happy,A Google user,5,,joy,,
37,38,0.002488938,0.008987188,0.988523901,1,Glitter Food - Kids Cafe,2018-09-22,,It's amazing it teaches how to cook for little kids Yes I love it,A Google user,5,1,admiration,,
38,39,0.003915636,0.047431622,0.948652744,1,Glitter Food - Kids Cafe,2018-09-22,,I realy like this game,A Google user,5,,love,,
39,40,0.004538401,0.024454761,0.97100687,1,Glitter Food - Kids Cafe,2018-09-02,,It was amazing,A Google user,5,,admiration,,
40,41,0.001321064,0.013365999,0.985312998,1,Glitter Food - Kids Cafe,2018-08-11,,I think this game is cool,A Google user,4,,joy,,
41,42,0.001697102,0.012194769,0.986108124,1,Glitter Food - Kids Cafe,2018-08-07,,My 3 yr old girl loves it!,A Google user,4,,love,,
42,43,0.011906676,0.108889453,0.879203856,1,Glitter Food - Kids Cafe,2018-07-17,,Nice game,A Google user,5,1,admiration,,
43,44,0.978888988,0.017977346,0.00313368,0,Glitter Food - Kids Cafe,2018-07-04,,This game is bad,A Google user,1,1,disappointment,,
44,45,0.011906676,0.108889453,0.879203856,1,Glitter Food - Kids Cafe,2018-06-24,,Nice game,A Google user,4,1,admiration,,
45,46,0.002129156,0.008017199,0.98985368,1,Glitter Food - Kids Cafe,2018-06-09,,"It's a nice game i love even my sister love it if you download i'm sure you will really love it because there all are unlock and i will give 5 star if you don't donload you will be really board and it din't not use wifi and hope you like,love it,this game♥♥♥♥♥♥♥♥♥♥♡♡♡♡♡♡♡♡♡♡",A Google user,5,,love,,
46,47,0.575945318,0.379303962,0.044750787,0,Glitter Food - Kids Cafe,2018-06-03,,Awsome,A Google user,4,,disgust,,
47,48,0.00299745,0.008240981,0.988761604,1,Glitter Food - Kids Cafe,2018-05-30,,I love its fun and easy to use and you don't have to pay for anything I give it five stars,A Google user,5,1,approval,,
48,49,0.03309688,0.809434295,0.157468766,1,Glitter Food - Kids Cafe,2018-05-05,,I am looking for a while a cook,A Google user,5,1,neutral,,
49,50,0.003791493,0.023301793,0.972906709,1,Glitter Food - Kids Cafe,2018-04-11,,Very very  nice game,A Google user,5,,admiration,,
50,51,0.023237282,0.082053408,0.894709289,1,Glitter Food - Kids Cafe,2018-04-10,,Am I love it,A Google user,5,1,love,,
51,52,0.002156337,0.017084111,0.980759561,1,Glitter Food - Kids Cafe,2018-03-28,,Fun and easy. Thank you,A Google user,4,1,gratitude,,
52,53,0.002988462,0.036453787,0.960557818,1,Glitter Food - Kids Cafe,2018-03-15,,Glitter food yummm!,A Google user,5,1,surprise,,
53,54,0.001369416,0.009232473,0.989398122,1,Glitter Food - Kids Cafe,2018-03-15,,My grand children are loving this glitter game!!!,A Google user,5,1,joy,,
54,55,0.003065101,0.009971419,0.986963451,1,Glitter Food - Kids Cafe,2018-03-15,,Very nice game.. loved it,A Google user,5,1,admiration,,
55,56,0.001968767,0.008002634,0.99002856,1,Glitter Food - Kids Cafe,2018-03-15,,"Just love it. Concept is nice even i just love cooking so, i like the concept.  Thumbs up Team",A Google user,5,1,love,,
56,57,0.002457276,0.015575681,0.981967092,1,Glitter Food - Kids Cafe,2018-03-15,,Best glitter food game .loved it please design more games like this.,A Google user,5,,admiration,,
57,58,0.001735866,0.012235852,0.986028254,1,Glitter Food - Kids Cafe,2018-03-15,,My kids are loving this,A Google user,5,,love,,
